cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL,cycle_norm
0.20579897,0.0092099225,0.008850847,1.1466056e-05,8.670431e-06,0.3231089,0.21747074,0.3002052,9.024291e-06,0.13477041,1.8354962e-08,0.49507186,0.0006278843,1.1985929e-05,0.36398634,3.1310748e-08,0.5065968,0.00027591002,0.31721753,1.5269256e-05,0.20611596,1.2133472e-05,1.3293642e-05,2.417966e-08,1.7100614e-08,9.4764977e-07,0.20427565
0.99566776,0.011411414,0.000442198,6.574545e-06,5.531325e-06,0.91244346,0.9219228,0.9686866,1.7558734e-05,0.15901329,1.8455146e-12,0.39049992,0.9957828,1.5903843e-05,0.9655301,1.8536251e-12,0.38759044,0.9948486,0.95152026,1.4548888e-05,0.9365099,8.903833e-06,2.046547e-05,2.8194007e-14,1.0399827e-14,5.49899e-20,0.9950302
7.1240565e-09,0.0046512517,1.2611487e-08,9.785649e-10,1.02032896e-10,5.2934588e-18,8.3152406e-18,3.6613185e-18,1.2543854e-09,4.5095053e-06,0.72480625,2.4519213e-18,1.1342909e-06,3.120288e-09,7.1746615e-20,0.73380256,3.472528e-18,9.9871446e-05,2.6581174e-17,2.4388078e-09,2.3407924e-17,6.697217e-10,8.072799e-09,0.7089892,0.70201457,0.56586486,2.1525564e-09
2.616423e-05,0.00469705,2.9089053e-09,9.821559e-08,2.0022716e-08,9.233757e-15,8.134383e-15,1.08882875e-14,9.1904774e-08,8.0136e-06,0.64248407,1.066488e-19,0.0014804694,3.517141e-07,1.1919453e-15,0.6854074,2.9977788e-19,0.019378169,2.9378365e-14,2.4871196e-07,2.8882543e-14,5.0661214e-08,6.7559387e-07,0.5974867,0.6165697,0.28161678,1.6115464e-05
3.03361e-10,0.0010328696,1.4075014e-11,1.2308466e-12,4.565911e-14,3.730545e-24,1.5247477e-23,1.4979961e-24,2.0968617e-12,1.9891029e-10,0.98323375,1.8903794e-27,3.7405468e-07,7.771182e-12,2.3786949e-27,0.9866684,4.477526e-27,0.00020566277,4.8052156e-23,4.724306e-12,6.080041e-23,6.401462e-13,3.0574186e-11,0.949901,0.9535877,0.7185456,5.095467e-11
5.1930124e-07,0.012560259,1.6583088e-05,1.7822744e-06,6.6157776e-07,6.7363937e-10,1.4590554e-10,9.72397e-10,1.9990985e-06,0.016674796,0.35997155,5.9398882e-08,3.874172e-06,2.4293395e-06,5.7496036e-10,0.38378346,6.0582664e-08,3.870201e-05,1.0613007e-09,2.387765e-06,2.33774e-10,1.4631976e-06,3.5455987e-06,0.36663264,0.35289183,0.3450404,3.475313e-07
4.8217284e-05,0.01114796,5.667034e-05,5.5302502e-05,4.828211e-05,9.2716045e-06,1.5263386e-06,1.7176955e-05,5.120796e-05,0.10303657,0.16622078,9.859533e-05,7.928012e-05,4.9394097e-05,3.3215776e-05,0.19449097,0.00011257818,0.0002156671,9.132739e-06,5.391671e-05,2.3281502e-06,5.0649887e-05,5.9938662e-05,0.1554832,0.15590283,0.07533543,4.2460757e-05
4.337679e-05,0.006317483,0.00974361,2.8054062e-06,1.8111805e-06,0.18919596,0.063638866,0.16162919,2.2792497e-06,0.1373623,5.5079033e-07,0.44142935,8.267885e-08,2.8367083e-06,0.21034172,1.7605462e-06,0.45228073,8.557714e-08,0.14675179,3.5775672e-06,0.0543049,2.8539446e-06,2.6150515e-06,1.7826416e-06,1.315607e-06,0.014386182,4.302369e-05
6.487372e-08,0.01696995,0.0023194598,1.51469485e-05,1.0589379e-05,3.3010332e-05,2.5106483e-06,4.4236163e-05,1.9705507e-05,0.08565705,0.02375466,0.05053508,9.479047e-09,1.2706574e-05,9.1586015e-05,0.033599988,0.043978203,4.2301746e-08,3.1463183e-05,1.5223004e-05,2.768503e-06,1.8644332e-05,1.44490305e-05,0.03920096,0.031989038,0.3847159,4.7525496e-08
8.384975e-16,7.187911e-05,1.1772444e-17,3.668289e-21,8.33357e-24,0.0,0.0,0.0,1.22154034e-20,8.558244e-25,0.9999996,0.0,7.011578e-12,8.346026e-20,0.0,0.99999994,0.0,4.1169997e-08,0.0,6.0206884e-20,4.0072725e-38,2.1054768e-21,9.754185e-19,0.99995816,0.9999687,0.9950432,1.1638754e-17
